carID,car_color,car_make,car_model
300,Goldenrod,Saab,900
301,Yellow,Porsche,944
302,Blue,Nissan,Stanza
303,Green,Land Rover,Discovery
304,Khaki,Land Rover,Discovery
305,Orange,Ford,Excursion
306,Crimson,Mercedes-Benz,E-Class
307,Crimson,Isuzu,Space
308,Khaki,Toyota,Tacoma
309,Purple,Land Rover,Defender
310,Puce,Nissan,Sentra
311,Aquamarine,Ford,F-Series
312,Teal,GMC,Yukon XL 1500
313,Violet,Chevrolet,Express 2500
314,Teal,Cadillac,CTS
315,Fuscia,Toyota,Tacoma
316,Puce,Mitsubishi,Montero Sport
317,Puce,Volkswagen,Passat
318,Turquoise,GMC,Yukon
319,Red,Subaru,Legacy
320,Puce,Mercury,Lynx
321,Khaki,Scion,xB
322,Orange,Acura,MDX
323,Purple,Dodge,Ram Van 2500
324,Goldenrod,Volvo,940
325,Aquamarine,Mitsubishi,Diamante
326,Orange,Mazda,B-Series
327,Crimson,Chevrolet,Suburban 1500
328,Purple,Audi,Q7
329,Purple,Lotus,Elan
330,Yellow,Subaru,Impreza
331,Yellow,Maybach,57
332,Yellow,Suzuki,Aerio
333,Maroon,Chrysler,Town & Country
334,Green,Toyota,Land Cruiser
335,Indigo,Pontiac,GTO
336,Turquoise,Chevrolet,G-Series G30
337,Yellow,Infiniti,Q
338,Khaki,Dodge,Ram Van 3500
339,Teal,Toyota,Previa
340,Mauv,Hyundai,Tiburon
341,Turquoise,Hyundai,Sonata
342,Violet,Pontiac,Bonneville
343,Crimson,Nissan,200SX
344,Purple,Ford,Ranger
345,Khaki,Mercedes-Benz,W201
346,Blue,GMC,Envoy XL
347,Violet,MINI,Clubman
348,Teal,Mazda,626
349,Purple,Kia,Rio
350,Puce,Dodge,Spirit
351,Goldenrod,Subaru,Leone
352,Pink,Maybach,57S
353,Teal,Lincoln,Town Car
354,Violet,Bentley,Azure
355,Puce,Infiniti,Q
356,Green,Nissan,Murano
357,Green,Chevrolet,Venture
358,Goldenrod,Toyota,MR2
359,Green,Infiniti,I
360,Fuscia,Plymouth,Voyager
361,Orange,Chevrolet,Astro
362,Pink,Chevrolet,Suburban 2500
363,Mauv,Saab,9-3
364,Red,Jaguar,XK
365,Khaki,Ford,Freestar
366,Fuscia,GMC,Yukon
367,Turquoise,Lotus,Exige
368,Red,Pontiac,Grand Prix
369,Yellow,Pontiac,Vibe
370,Blue,Subaru,Legacy
371,Purple,Land Rover,Range Rover Evoque
372,Goldenrod,Mercury,Cougar
373,Turquoise,Dodge,Dakota Club
374,Green,Chevrolet,3500
375,Puce,Buick,Century
376,Crimson,Ford,Freestar
377,Crimson,Acura,RDX
378,Khaki,Land Rover,LR4
379,Fuscia,BMW,Z4
380,Mauv,Rolls-Royce,Ghost
381,Puce,Volvo,V40
382,Green,Mitsubishi,Truck
383,Crimson,Pontiac,Grand Am
384,Purple,Toyota,Venza
385,Aquamarine,Mazda,Miata MX-5
386,Violet,Nissan,Maxima
387,Indigo,Nissan,Versa
388,Puce,Mazda,Mazda6
389,Fuscia,Honda,Insight
390,Mauv,GMC,Sierra Denali
391,Teal,Toyota,RAV4
392,Turquoise,Lotus,Elise
393,Fuscia,Ford,Mustang
394,Purple,Mitsubishi,Eclipse
395,Green,Cadillac,Sixty Special
396,Orange,Chevrolet,Silverado 2500
397,Indigo,Infiniti,I
398,Mauv,Chevrolet,Suburban 2500
399,Blue,Subaru,Impreza WRX
400,Aquamarine,Mercedes-Benz,E-Class
401,Puce,BMW,600
402,Aquamarine,Nissan,Titan
403,Violet,Honda,Element
404,Goldenrod,Saab,900
405,Yellow,Acura,Integra
406,Crimson,Chevrolet,Corvette
407,Red,GMC,Envoy XL
408,Blue,Subaru,SVX
