rentalID,rental_date,rental_duration_days,rental_price,customer_customerID,car_carID
400,2020-11-07,3,264,120,334
401,2020-05-15,29,275,13,433
402,2020-10-24,12,374,50,524
403,2020-07-13,17,107,135,429
404,2021-01-28,20,190,128,394
405,2020-11-17,12,377,90,526
406,2021-12-20,15,90,163,325
407,2021-06-17,27,198,228,491
408,2020-09-23,9,287,50,522
409,2021-07-20,22,196,49,381
410,2021-01-16,18,393,225,318
411,2021-01-15,18,77,124,325
412,2021-11-04,25,375,213,335
413,2020-05-16,8,364,36,527
414,2021-03-04,18,111,11,537
415,2021-08-08,15,342,175,546
416,2020-09-07,19,430,58,374
417,2021-12-16,13,105,30,534
418,2020-10-09,3,249,230,521
419,2021-11-19,13,401,22,321
420,2021-07-07,26,320,3,519
421,2020-04-30,8,74,133,452
422,2021-10-05,21,296,157,436
423,2021-06-28,21,309,239,404
424,2020-05-01,7,279,23,539
425,2021-12-08,18,248,127,527
426,2020-01-18,7,352,242,348
427,2020-01-13,15,322,153,361
428,2020-11-13,20,68,192,471
429,2020-12-18,4,379,26,355
430,2020-06-17,22,399,247,354
431,2020-09-23,11,199,122,513
432,2021-02-11,13,418,68,415
433,2021-04-18,15,416,124,365
434,2021-03-24,4,494,113,327
435,2021-12-06,19,196,54,352
436,2020-06-03,3,395,110,511
437,2020-04-08,22,251,161,344
438,2020-09-18,17,319,131,455
439,2020-06-27,20,342,66,341
440,2020-12-17,6,342,248,375
441,2021-07-21,9,184,196,326
442,2021-02-25,16,106,156,445
443,2021-10-11,8,496,27,477
444,2021-11-20,20,290,111,430
445,2020-09-05,16,268,43,501
446,2021-09-05,17,329,97,452
447,2020-06-27,5,111,37,476
448,2021-05-22,17,299,83,539
449,2021-05-15,25,181,66,364
450,2020-02-14,25,243,64,354
451,2021-09-02,15,351,179,494
452,2020-04-01,12,352,47,345
453,2021-07-31,2,402,4,471
454,2021-07-28,10,175,198,320
455,2021-10-08,14,148,195,340
456,2020-06-16,28,359,202,539
457,2020-05-08,7,366,215,547
458,2021-10-20,14,103,106,409
459,2020-09-07,3,396,122,448
460,2021-12-18,24,102,162,487
461,2021-04-11,7,350,93,364
462,2021-03-05,16,469,96,549
463,2020-04-05,17,330,213,450
464,2021-08-07,26,116,218,400
465,2021-06-16,16,354,205,372
466,2021-05-11,19,72,46,529
467,2020-11-16,17,77,41,523
468,2021-08-26,16,299,88,329
469,2020-04-24,16,335,106,462
470,2020-09-12,23,78,207,446
471,2020-11-20,4,67,223,319
472,2021-10-12,13,318,189,446
473,2020-08-12,2,280,155,381
474,2021-11-27,24,206,143,464
475,2020-07-06,16,257,224,314
476,2021-11-23,22,493,35,321
477,2021-01-25,20,259,163,352
478,2020-05-27,9,126,97,438
479,2020-08-06,25,349,67,505
480,2021-05-30,23,289,139,531
481,2020-07-17,18,412,72,329
482,2020-12-14,16,500,62,447
483,2020-05-07,6,77,108,384
484,2020-08-28,16,251,181,471
485,2020-11-28,7,97,161,436
486,2020-12-25,23,400,223,376
487,2021-09-07,8,55,190,418
488,2020-07-09,4,185,83,398
